timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680192197830,897,HTTP Request,200,OK,newuser 1-21,text,true,,165906,240,64,64,https://www.rokomari.com/book,412,0,310
1680192197830,419,HTTP Request-0,301,Moved Permanently,newuser 1-21,,true,,896,118,64,64,https://www.rokomari.com/,412,0,310
1680192198252,475,HTTP Request-1,200,OK,newuser 1-21,text,true,,165010,122,64,64,https://www.rokomari.com/book,107,0,0
1680192197628,1202,HTTP Request,200,OK,newuser 1-11,text,true,,165892,240,68,68,https://www.rokomari.com/book,649,0,507
1680192197628,649,HTTP Request-0,301,Moved Permanently,newuser 1-11,,true,,894,118,68,68,https://www.rokomari.com/,649,0,507
1680192198278,552,HTTP Request-1,200,OK,newuser 1-11,text,true,,164998,122,68,68,https://www.rokomari.com/book,147,0,0
1680192198624,1040,HTTP Request,200,OK,newuser 1-59,text,true,,165894,240,98,98,https://www.rokomari.com/book,190,0,81
1680192198624,190,HTTP Request-0,301,Moved Permanently,newuser 1-59,,true,,902,118,98,98,https://www.rokomari.com/,190,0,81
1680192198814,850,HTTP Request-1,200,OK,newuser 1-59,text,true,,164992,122,98,98,https://www.rokomari.com/book,101,0,0
1680192197921,1763,HTTP Request,200,OK,newuser 1-23,text,true,,165898,240,97,97,https://www.rokomari.com/book,511,0,350
1680192197921,511,HTTP Request-0,301,Moved Permanently,newuser 1-23,,true,,898,118,97,97,https://www.rokomari.com/,511,0,350
1680192198432,1252,HTTP Request-1,200,OK,newuser 1-23,text,true,,165000,122,97,97,https://www.rokomari.com/book,114,0,0
1680192198004,1702,HTTP Request,200,OK,newuser 1-29,text,true,,165888,240,96,96,https://www.rokomari.com/book,315,0,218
1680192198004,315,HTTP Request-0,301,Moved Permanently,newuser 1-29,,true,,898,118,96,96,https://www.rokomari.com/,315,0,218
1680192198319,1387,HTTP Request-1,200,OK,newuser 1-29,text,true,,164990,122,96,96,https://www.rokomari.com/book,205,0,0
1680192197996,1943,HTTP Request,200,OK,newuser 1-26,text,true,,165902,240,95,95,https://www.rokomari.com/book,249,0,137
1680192197996,256,HTTP Request-0,301,Moved Permanently,newuser 1-26,,true,,900,118,95,95,https://www.rokomari.com/,249,0,137
1680192198252,1687,HTTP Request-1,200,OK,newuser 1-26,text,true,,165002,122,95,95,https://www.rokomari.com/book,208,0,0
1680192199111,1057,HTTP Request,200,OK,newuser 1-84,text,true,,165895,240,94,94,https://www.rokomari.com/book,301,0,154
1680192199111,301,HTTP Request-0,301,Moved Permanently,newuser 1-84,,true,,898,118,94,94,https://www.rokomari.com/,301,0,154
1680192199412,756,HTTP Request-1,200,OK,newuser 1-84,text,true,,164997,122,94,94,https://www.rokomari.com/book,142,0,0
1680192198435,1871,HTTP Request,200,OK,newuser 1-40,text,true,,165908,240,93,93,https://www.rokomari.com/book,187,0,79
1680192198435,187,HTTP Request-0,301,Moved Permanently,newuser 1-40,,true,,908,118,93,93,https://www.rokomari.com/,187,0,79
1680192198622,1684,HTTP Request-1,200,OK,newuser 1-40,text,true,,165000,122,93,93,https://www.rokomari.com/book,131,0,0
1680192198307,2040,HTTP Request,200,OK,newuser 1-34,text,true,,165912,240,92,92,https://www.rokomari.com/book,163,0,46
1680192198307,163,HTTP Request-0,301,Moved Permanently,newuser 1-34,,true,,912,118,92,92,https://www.rokomari.com/,163,0,46
1680192198471,1876,HTTP Request-1,200,OK,newuser 1-34,text,true,,165000,122,92,92,https://www.rokomari.com/book,103,0,0
1680192198481,2085,HTTP Request,200,OK,newuser 1-46,text,true,,165902,240,91,91,https://www.rokomari.com/book,201,0,98
1680192198481,201,HTTP Request-0,301,Moved Permanently,newuser 1-46,,true,,908,118,91,91,https://www.rokomari.com/,201,0,98
1680192198683,1883,HTTP Request-1,200,OK,newuser 1-46,text,true,,164994,122,91,91,https://www.rokomari.com/book,107,0,0
